Day,Electricity Usage (kWh)
1,748393
2,745981
3,445078
4,394251
5,794094
6,833729
7,834302
8,775769
9,795523
10,543327
11,444939
12,880374
13,890729
14,1013780
15,768009
16,773070
17,476426
18,496720
19,851625
20,828378
21,750845
22,721216
23,738163
24,372049
25,373317
26,764111
27,831966
28,767252
29,737339
30,856441
31,470066
